X,Y,fid,NOM,Adresse,Code Postal,Commune,N° CADASTRE,PHOTO,ERP CAT,ERP TYPE,CADASTRE,Qualité Juridique d'occupation,DATE ACTE PRIMITIF CADASTRE,ANNÉE DE CONSTRUCTION,PMR ACCES,PLACES PARKING,ESPACE VERT EN M²,SURFACE BATIMENT M²,loyer,SURFACE PARCELLE M²,LIEN CARTE GOOGLE,EAU,ELEC,GAZ,Y,X,icon_url
4.0937144,46.4193991,"1",AIRE DE GRAND PASSAGE PARAY LE MONIAL,LES BONS VINS,"71600",PARAY LE MONIAL,D500-D487-D486 ,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\AGV PLM.png,X,X,COM DE COMMUNE DE PARAY,Propriétaire non occupant,11/07/2008,2009 AMENAGEMENT,NON,?,27 000,"0", MISE A DISPO GRATUIT convention à mettre en place ,11562+8000+6250 = 17840 m²,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.42047362805782%2C4.091436660286432&z=18,X,30001213077012         (84 kW), ,46.4193991,4.0937144,./0.png
3.9797864,46.490156,"2",AIRE DES GENS DU VOYAGE DIGOIN,rue du Bac,"71160",DIGOIN,BS-168,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\AGV DIGOIN.png,X,X,COMMUNE DE DIGOIN,Propriétaire non occupant,01/01/1984,2 011,NON,16 EMPLACEMENTS,3 800,"78",MIS A DISPO GRATUIT,3 939,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.49134140747494%2C3.9778685978698647&z=17,X,X,,46.490156,3.9797864,./0.png
4.1030453,46.4403544,"3",ALSH FERREUIL PARAY LE MONIAL,"20, route de Ferreuil","71600",PARAY LE MONIAL,D-288,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\CENTRE LOISIRS PLM.png,"5",R,COMMUNE DE PARAY LE MONIAL,Propriétaire occupant,16/01/1996,2 019,OUI,1 PMR + 10 PLACES + 17 PLACE COMMUNE,5 000,"558",,2 171,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.440888540476834%2C4.102256730549634&z=18,X,X,,46.4403544,4.1030453,./0.png
4.0286674,46.4293425,"4",ALSH VARENNE ST GERMAIN,LE VIEUX BOURG LE CHÂTEAU,"71600",VARENNE ST GERMAIN,D-317  BATIMENT+     .      D-319 TERRAIN,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\ASLH VARENNE ST GERMAIN.jpg,X,X,COMMUNE DE DIGOIN,Locataire,01/01/1970,INCONNU,NON,"5",5 500,1 440,MIS A DISPO PAR LA VILLE,.349+5790,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.42948715965784%2C4.028578887102503&z=20,X,50092720510835     (59 kW),?,46.4293425,4.0286674,./0.png
3.9970784,46.484779,"5",ANCHIEN CHÂTEAU D EAU CM71,Rue Alsace Lorraine,"71160",DIGOIN,BD-55,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\ANCIEN CHATEAU D EAU.png,X,X,COMMUNAUTE DE COMMUNE LE VAL DE LOIRE,propriétaire occupant,19/10/2000,AVANT 1950,NON,"0",11 374,, X ,11374 + 40 M² AU SOL,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.48487906924326%2C3.9970155575622845&z=20, ,,,46.484779,3.9970784,./0.png
4.2753221,46.437138,"6",ASLH CENTRE DE LOISIRS CHAROLLES,17 rue des Provins,71 120,CHAROLLES,AC24,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\CENTRE LOISIRS ECOLE MUSIQUE CHAROLLES.png,"2",,COMMUNAUTE DE COMMUNES CANTON DE CHAROLLES,propriétaire occupant,18/04/2005,REHANILITATION 2007-2008,,9 places,,,,,https://www.google.com/maps/d/u/0/edit?mid=1-6fh_29VCN0wnyvN2ZOCp0RrlBj89fw9&ll=46.440911995005436%2C4.103393683840988&z=18,X,".12130000000000",X,46.437138,4.2753221,./0.png
4.1004436,46.4564004,"7",BATIMENT GUE LEGER VITRY N 1,rue du Gué Léger,"71600",VITRY EN CHAROLLAIS,     AL-364,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\GUE LEGER VITRY.png,X,X,COM DE COMMUNE DE PARAY,Propriétaire non occupant,30/12/2013,1 984,NON,"0","0","560", beccat decoration 7456.32/an ,1 743,https://www.google.com/maps/d/u/0/edit?mid=1-6fh_29VCN0wnyvN2ZOCp0RrlBj89fw9&ll=46.45654908170994%2C4.101387798286451&z=19,X,X,,46.4564004,4.1004436,./0.png
4.1005885,46.4565186,"8",BATIMENT GUE LEGER VITRY N 2,rue du Gué Léger,"71600",VITRY EN CHAROLLAIS,     AL-364,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\GUE LEGER VITRY.png,X,X,COM DE COMMUNE DE PARAY,propriétaire occupant,30/12/2013,1 984,NON,"0","0","560", X ,1 743,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.458098851171854%2C4.098769959275965&z=17,X,121 548 479 54 154, ,46.4565186,4.1005885,./0.png
3.986444,46.4818483,"9",CAPITAINERIE CCLGC DIGOIN,Rue de la plaine,"71160",DIGOIN,domaine public fluvial,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\CAPITAINERIE.png,X,X,X,COT VNF,X,INCONNU,NON,"8",11 450,"30",5 670 ,,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.482043610582366%2C3.986319546349355&z=20,X,X,,46.4818483,3.986444,./0.png
3.9773855,46.4803112,"10",CENTRE DE SANTE - STUDIO LOFT DIGOIN,31 rue Nationale,"71160",DIGOIN,BN-255,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\CDS DIGOIN 71.png,X,X,OBERTHI,Locataire,24/09/1997,RENOVATION 2018,NON,COMMUNE 3 PLACES + 50 PARKING MAINAUDS,"0","40", STUDIO SOUS LOUER   4313.88  TTC ,"287",https://www.google.com/maps/d/u/0/edit?mid=1-6fh_29VCN0wnyvN2ZOCp0RrlBj89fw9&ll=46.48054153041717%2C3.977223226354596&z=19,X,X,,46.4803112,3.9773855,./0.png
3.9773855,46.4803112,"11",CENTRE DE SANTE DIGOIN,31 RUE NATIONALE,"71160",DIGOIN,BN-255,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\CDS DIGOIN 71.png,"5",W,OBERTHI,Locataire,24/09/1997,RENOVATION 2018,OUI,COMMUNE 3 PLACES + 50 PARKING MAINAUDS,"0","260",   LOCATION BAT ENTIER 12335.04  TTC                             ,"287",https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.48047419406869%2C3.977215850279805&z=20,X,"12171345827500 1ER ETAGE
12171635263135 2EME ETAGE
12171490545377

",,46.4803112,3.9773855,./0.png
3.955621,46.4738836,"12",CENTRE TECHNIQUE ANNEXE  MOLINET,"49, Route de Digoin","3510",MOLINET,AH-18,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\ANNEXE CT MOLINET.png,X,X,COMMUNAUTE DE COMMUNE LE VAL DE LOIRE,,21/12/2000,AVANT 1900,,,,2 715, X ,,https://www.google.com/maps/d/u/0/edit?mid=1-6fh_29VCN0wnyvN2ZOCp0RrlBj89fw9&ll=46.47392876833441%2C3.955788233590889&z=20,X,X,"Bat technique (atelier n°3) Molinet 17357742398254
Bat technique (atelier n°8)   7 et 8 Molinet 17334008679838
",46.4738836,3.955621,./0.png
3.9559791,46.4737977,"13",CENTRE TECHNIQUE MOLINET,"49, Route de Digoin","3510",MOLINET,AH-18,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\CT MOLINET.png,"5",W,COMMUNAUTE DE COMMUNE LE VAL DE LOIRE,propriétaire occupant,21/12/2000,REHABILITATION 1990 & 2004,NON,40+1 PMR,3 500,2 360, X ,5 867,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.47406143761101%2C3.9558348839391533&z=20,X,".17357600000000",,46.4737977,3.9559791,./0.png
4.0124459,46.4823659,"14",DECHETTERIE DIGOIN ,rue de la Brosse Virot,"71160",DIGOIN,C-172,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\DECHETTERIE DIGOIN.png,X,X,SYNDICAT MIXTE ELIMINATION ET VALORISATION DES DECHETS,propriétaire occupant,03/03/2008,2 018,OUI,"0",3 780,"120",X,16 482,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.4822336071693%2C4.009045167314214&z=17,X,X,,46.4823659,4.0124459,./0.png
4.2351947,46.5508921,"15",DECHETTERIE PALINGES,Champ Brézat,"71430",PALINGES,AL-207             AL-229            AL-242,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\DECHETTERIE PALINGES.png,X,X,COMMUNE DE PALINGES,Propriétaire non occupant,09/09/1993    09/09/1993     09/09/1993,2 003,NON,"0",1 000,"27", MIS A DISPO GRATUIT COUP GARDIENNAGE ANNEE 51382.44 TTC ,2168 + 1328 +724 = 4220 M²,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.550894840508334%2C4.234604657008343&z=18,X,X,,46.5508921,4.2351947,./0.png
4.1038993,46.4583272,"16",DECHETTERIE PARAY LE MONIAL,rue du Gué Léger,"71600",PARAY LE MONIAL,AC-441              AC-440            AC-431            AC-429,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\DECHETTERIE PLM.png,X,X,COM DE COMMUNE PARAY,Propriétaire non occupant,17/01/2007    17/01/2007    29/06/2005   26/06/2005,CONSTRUCTION EN 2000 REHABILITATION 2005-2006 ,NON,"0","100","75", MIS A DISPO GRATUIT COUP GARDIENNAGE ANNEE 95331.33 TTC ,387 + 204 + 3001 + 805 = 4397 m²,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.45829205388448%2C4.103024910311874&z=18,X,X,,46.4583272,4.1038993,./0.png
4.435958,46.4758867,"17",DECHETTERIE ST BONNET DE JOUX,Route de Beaubery,"71220",ST BONNET DE JOUX,AT-105,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\DECHETTERIE ST BONNET DE JOUX.png,X,X,COMMUNE DE ST BONNET DE JOUX,Propriétaire non occupant,28/02/2005,2 006,NON,"0","400","70", MIS A DISPO GRATUIT COUP GARDIENNAGE ANNEE 35131.32 TTC ,2 288,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.476195168685024%2C4.4356897570083476&z=18,X,X,,46.4758867,4.435958,./0.png
4.3107402,46.4410259,"18",DECHETTERIE VENDENESSE LES CHAROLLES,Molaize,"71120",VENDENESSE LES CHAROLLES,i-5                           i-6                          i-419,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\DECHETTERIE VENDENESSE.png,X,X,COMMUNAUTE DE COMMUNE CANTON CHAROLLES,Propriétaire non occupant,31/12/2018    31/12/2018   31/12/2018,2 000,NON,"0",3 900,"50", MIS A DISPO GRATUIT COUP GARDIENNAGE ANNEE 56561.67 TTC ,9989 + 3036 +2077 = 15152 M² C  + bassin confinement en cas incendie 160 m3 + BASSIN REGULATION 100 M3,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.441850714727885%2C4.309763413422409&z=18,X,X,,46.4410259,4.3107402,./0.png
3.9758057,46.4799738,"19",DOCK 713,"8, quai de la Loire","71160",DIGOIN,BN-504,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\DOCK 713.png,"4",LX,COMMUNE DE DIGOIN CC LE GRAND CHAROLAIS,propriétaire occupant,03/07/1995,RENOVATION 2017,OUI,"0","0","775",,"383",https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.48108011770147%2C3.974817569787965&z=18,X,500 359 992 43 248   (108 kW), ,46.4799738,3.9758057,./0.png
4.2753221,46.437138,"20",ECOLE DE MUSIQUE CHAROLLES,17 rue des Provins,71 120,CHAROLLES,AC24,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\CENTRE LOISIRS ECOLE MUSIQUE CHAROLLES.png,"4",RLW,COMMUNAUTE DE COMMUNES CANTON DE CHAROLLES,propriétaire occupant,18/04/2005,REHANILITATION 2007-2008,OUI,1 PMR,"180","940",,1 632,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.43777198693449%2C4.275415977315502&z=18,X,".12130000000000",".12130100000000",46.437138,4.2753221,./0.png
4.1181081,46.4545088,"21",ECOLE DE MUSIQUE PARAY LE MONIAL,"24, rue Louis Desrichard","71600",PARAY LE MONIAL,AH-476,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\ECOLE MUSIQUE PLM.png,"4",R / L,COMMUNE DE PARAY LE MONIAL,Propriétaire occupant,01/01/1970,1970 REHABILITATION 2009-2010,NON,"5",1 840,1 152,,9 973,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.4550853597477%2C4.116745504685211&z=18,X,".12182200000000",".12176100000000",46.4545088,4.1181081,./0.png
3.985636,46.482186,"22",ECOLE MUSIQUE DIGOIN,14 PLACE DE M HOTEL DE VILLE,"71600",DIGOIN,BM-295,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\ECOLE MUSIQUE DIGOIN.png,,,COMMUNE DE DIGOIN,Occupant à titre gratuit,10/11/1981,1 952,?,parking public,400 ?,1 285,,2 064,https://www.google.com/maps/d/u/0/edit?mid=1-6fh_29VCN0wnyvN2ZOCp0RrlBj89fw9&ll=46.48289505438092%2C3.9864279637561273&z=18,X,.121 846 598 931 01,".12184800000000",46.482186,3.985636,./0.png
3.98933,46.48493,"23",FAIENCERIE HANGAR DIGOIN,RUE DE LA FAIENCERIE,"71600",DIGOIN,AZ 510,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\FAIENCERIE DIGOIN.png,,,SARREGUEMINES INTERNATIONAL,,,,,,,,,,https://www.google.com/maps/d/u/0/edit?mid=1-6fh_29VCN0wnyvN2ZOCp0RrlBj89fw9&ll=46.48704385036636%2C3.9950939308133604&z=19, ,,,46.48493,3.98933,./0.png
3.98933,46.48493,"24",FAIENCERIE MAGASIN DIGOIN,RUE DE LA FAIENCERIE,"71600",DIGOIN,AZ 510,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\FAIENCERIE DIGOIN.png,,,SARREGUEMINES INTERNATIONAL,,,,,,,6 693,,,https://www.google.com/maps/d/u/0/edit?mid=1-6fh_29VCN0wnyvN2ZOCp0RrlBj89fw9&ll=46.48704385036636%2C3.9950939308133604&z=19, ,,,46.48493,3.98933,./0.png
4.4373598,46.4839846,"25",GARAGE DU STADE ST BONNET DE JOUX,Route de Génelard,"71220",ST BONNET DE JOUX,AH-15,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\GARAGE SBJ.png,"5",R,COM DE COMMUNE DE PARAY,Propriétaire non occupant,22/12/2016,INCONNU,NON,1 DEVANT + 6 A COTE COMMUNE,"750","200","7 200,00 ",1 029,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.485868550810736%2C4.435804345444807&z=17,X,X,,46.4839846,4.4373598,./0.png
4.2194905,46.5540257,"26",HALTE GARDERIE - RIAM  LES LUTINS PALINGES,1 route de Génelard,"71430",PALINGES,AN-80,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\HG PALINGES.png,"5",R,COMMUNE DE PALINGES,Occupant à titre gratuit,03/12/2007,INCONNU,OUI,PARKING ECOLE COMMUNE 26,"700","390",MIS A DISPO PAR LA VILLE,"746",https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.555584378616516%2C4.2194118337295405&z=17,X,".12149100000000",".12100900000000",46.5540257,4.2194905,./0.png
3.9744806,46.4142247,"27",HALTE NAUTIQUE CHASSENARD,LES DESVIGNES,"3510", CHASSENARD,domaine public fluvial,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\HN CHASSENARD.png,X,X,X,COT VNF,X,2 015,OUI,"0",1 791,"12", CONVENTION OCCUPATION TEMPORAIRE 685.22  (révision annuel)             recettes: 340  ,2001 +1791m² terrestre / 210m² plan eau / 12m² Sanitaire,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.414416790523106%2C3.9743424115286263&z=19,X,".17370800000000",,46.4142247,3.9744806,./0.png
3.8572414,46.4848507,"28",HALTE NAUTIQUE COULANGES,Le Bourg,"3470",Coulanges,domaine public fluvial,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\HN COULANGES.png,X,X,X,COT VNF,X,2 015,OUI,"0","925","6", CONVENTION OCCUPATION TEMPORAIRE 792.80  (révision annuel)             recettes: 158  ,1175 + 925m² terrestre / 250m² plan eau / 6m² sanitaire,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.485222122441165%2C3.8569002474170544&z=19,X,".17344900000000",,46.4848507,3.8572414,./0.png
3.9411787,46.4710798,"29",HALTE NAUTIQUE MOLINET,8 route de Moulins  ,"3510",MOLINET,domaine public fluvial,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\HN MOLINET.png,X,X,X,COT VNF,X,2 015,OUI,"14",6 168,"8", CONVENTION OCCUPATION TEMPORAIRE 696.90  (révision annuel)             recettes: 616  ,6396  198m² plan eau /8 m² sanitaire,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.471434472588236%2C3.940702607899853&z=19,X,".17345000000000",,46.4710798,3.9411787,./0.png
4.21427,46.5536,"30",HALTE NAUTIQUE PALINGES BORNE,levée du canal rive gauche ,"71430",PALINGES,domaine public fluvial,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\HALTE NAUTIQUE PALINGES.png,,,X,COT VNF,X,,,,,,,,,,".12143300000000",,46.5536,4.21427,./0.png
4.1202129,46.4460828,"31",HALTE NAUTIQUE PARAY LE MONIAL,quai tabarly,"71600",PARAY LE MONIAL,?,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\HN PLM.png,X,X,X,domaine public fluvial,?,?,OUI,"0","0","0", PAS DE COTISATION recettes 481  ,"0",https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.44626549313002%2C4.119708258563404&z=19,X,X,,46.4460828,4.1202129,./0.png
4.3065419,46.4417473,"32",HOTEL DES ENTREPRISES Cellule 1,Parc d'activités du Charolais,"71120",CHAROLLES,A-778,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\HOTEL DES ENTREPRISES.png,X,X,CC DU CHAROLAIS,SARAH MORVAN VESSELY,19/09/2016,31/07/2017,OUI,11+2 PMR,3 000,CELLULE1,"3 000,00 ",4 477,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.4433464250192%2C4.305603965501397&z=17,X,".12160600000000",,46.4417473,4.3065419,./0.png
4.3065419,46.4417473,"33",HOTEL DES ENTREPRISES Cellule 2,Parc d'activités du Charolais,"71120",CHAROLLES,A-778,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\HOTEL DES ENTREPRISES.png,X,X,CC DU CHAROLAIS,KURA,,,,,,CELLULE2,"10 800,00 ",,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.4433464250192%2C4.305603965501397&z=17, ,,X,46.4417473,4.3065419,./0.png
4.3065419,46.4417473,"34",HOTEL DES ENTREPRISES Cellule 3,Parc d'activités du Charolais,"71120",CHAROLLES,A-778,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\HOTEL DES ENTREPRISES.png,X,X,CC DU CHAROLAIS,,,,,,,CELLULE3,,,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.4433464250192%2C4.305603965501397&z=17, ,,,46.4417473,4.3065419,./0.png
4.3065419,46.4417473,"35",HOTEL DES ENTREPRISES Cellule 4,Parc d'activités du Charolais,"71120",CHAROLLES,A-778,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\HOTEL DES ENTREPRISES.png,X,X,CC DU CHAROLAIS,ALPHA NEGOCE,,,,,,CELLULE4,"10 800,00 ",,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.4433464250192%2C4.305603965501397&z=17, ,,,46.4417473,4.3065419,./0.png
